Column1,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
289,49,123,70,3,1,70.00,4,caught,2,v Sri Lanka,The Oval,30-06-2002,ODI # 1849
290,105*,167,108,8,1,97.22,4,not out,1,v England,Chester-le-Street,04-07-2002,ODI # 1851
291,19,35,25,3,0,76.00,4,caught,2,v Sri Lanka,Birmingham,06-07-2002,ODI # 1852
292,36,60,29,5,0,124.13,4,caught,2,v England,The Oval,09-07-2002,ODI # 1854
293,113,141,102,12,1,110.78,4,caught,1,v Sri Lanka,Bristol,11-07-2002,ODI # 1855
294,14,31,19,1,0,73.68,4,bowled,2,v England,Lord's,13-07-2002,ODI # 1856
295,7,39,16,0,0,43.75,4,caught,1,v Zimbabwe,Colombo (RPS),14-09-2002,ODI # 1876
296,9*,34,20,0,0,45.00,4,not out,2,v England,Colombo (RPS),22-09-2002,ODI # 1884
297,16,39,29,1,0,55.17,4,run out,1,v South Africa,Colombo (RPS),25-09-2002,ODI # 1886
298,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS),29-09-2002,ODI # 1888
299,7*,33,22,1,0,31.81,3,not out,2,v Sri Lanka,Colombo (RPS),30-09-2002,ODI # 1889
300,0,9,10,0,0,0.00,4,lbw,2,v New Zealand,Wellington,08-01-2003,ODI # 1930
301,1,21,13,0,0,7.69,4,caught,2,v New Zealand,Auckland,11-01-2003,ODI # 1933
302,1,7,6,0,0,16.66,3,caught,1,v New Zealand,Hamilton,14-01-2003,ODI # 1935
303,52,91,72,7,0,72.22,2,caught,1,v Netherlands,Paarl,12-02-2003,ODI # 1948
304,36,127,59,3,0,61.01,2,lbw,1,v Australia,Centurion,15-02-2003,ODI # 1951
305,81,122,91,10,0,89.01,2,bowled,1,v Zimbabwe,Harare,19-02-2003,ODI # 1957
306,152,193,151,18,0,100.66,2,bowled,1,v Namibia,Pietermaritzburg,23-02-2003,ODI # 1964
307,50,78,52,8,1,96.15,2,caught,1,v England,Durban,26-02-2003,ODI # 1969
